movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt1298644,253,. The Hustle,1h 33mPG-13,2019,5.4,"64,093"
tt8526872,254,. Dolemite Is My Name,1h 58mR,2019,7.2,"63,881"
tt3892172,255,. Leave No Trace,1h 49mPG,2018,7.1,"63,841"
tt6079516,256,. I See You,1h 38mR,2019,6.8,"63,392"
tt4126476,257,. After,1h 45mPG-13,2019,5.3,"63,006"
tt6742252,258,. The Guilty,1h 25mR,2018,7.5,"62,985"
tt4687108,259,. In the Tall Grass,1h 41mTV-MA,2019,5.5,"62,841"
tt6908274,260,. Mirage,2h 8mTV-MA,2018,7.4,"62,239"
tt5610554,261,. Tully,1h 35mR,2018,6.9,"62,191"
tt8291806,262,. Pain and Glory,1h 53mR,2019,7.5,"62,009"
tt0385887,263,. Motherless Brooklyn,2h 24mR,2019,6.8,"61,651"
tt6772950,264,. Truth or Dare,1h 40mPG-13,2018,5.2,"61,614"
tt6398184,265,. Downton Abbey,2h 2mPG,2019,7.4,"61,360"
tt7374948,266,. Always Be My Maybe,1h 41mPG-13,2019,6.8,"61,279"
tt1288846,267,. My Octopus Teacher,1h 25mTV-G,2020,8.1,"61,141"
tt8784956,268,. Ava,1h 36mR,2020,5.4,"60,970"
tt6543652,269,. Cold War,1h 29mR,2018,7.5,"60,841"
tt9052870,270,. Chhichhore,2h 23mNot Rated,2019,8.3,"60,729"
tt5304992,271,. Set It Up,1h 45mTV-14,2018,6.5,"60,678"
tt6306064,272,. Adrift,1h 36mPG-13,2018,6.6,"60,481"
tt9214832,273,. Emma.,2h 4mPG,2020,6.7,"60,331"
tt1165520,274,. Riders of Justice,1h 56mNot Rated,2020,7.5,"59,497"
tt8110640,275,. In the Shadow of the Moon,1h 55mTV-MA,2019,6.2,"59,146"
tt6452574,276,. Sanju,2h 35mTV-MA,2018,7.6,"59,031"
tt7958736,277,. Ma,1h 39mR,2019,5.6,"58,401"
tt1035092,278,. Laxmii,2h 21mTV-MA,2020,2.5,"58,348"
tt6217306,279,. Apostle,2h 10mTV-MA,2018,6.3,"57,684"
tt4463894,280,. Shaft,1h 51mR,2019,6.4,"57,626"
tt1068226,281,. Hubie Halloween,1h 43mPG-13,2020,5.2,"57,202"
tt5834262,282,. Hotel Artemis,1h 34mR,2018,6.1,"57,154"
tt1051422,283,. Ma Rainey's Black Bottom,1h 34mR,2020,6.9,"56,879"
tt6820256,284,. Arctic,1h 38mPG-13,2018,6.8,"56,875"
tt5968394,285,. Captive State,1h 49mPG-13,2019,6.0,"56,726"
tt5246700,286,. How It Ends,1h 53mTV-MA,2018,5.0,"56,696"
tt0983946,287,. Fantasy Island,1h 49mPG-13,2020,4.9,"56,603"
tt6791096,288,. I Feel Pretty,1h 50mPG-13,2018,5.6,"56,486"
tt8239946,289,. Tumbbad,1h 44mNot Rated,2018,8.2,"56,355"
tt4913966,290,. The Curse of La Llorona,1h 33mR,2019,5.2,"56,308"
tt3201640,291,. Extinction,1h 35mTV-MA,2018,5.8,"56,307"
tt1838556,292,. Honest Thief,1h 39mPG-13,2020,6.0,"55,908"
tt7668842,293,. Enes Batur: Imagination or Reality?,1h 50m,2018,2.0,"55,850"
tt7825208,294,. Marighella,2h 35m,2019,7.1,"55,842"
tt8663516,295,. Child's Play,1h 30mR,2019,5.7,"55,482"
tt4595882,296,. Can You Ever Forgive Me?,1h 46mR,2018,7.1,"55,254"
tt5814534,297,. Spies in Disguise,1h 42mPG,2019,6.8,"54,881"
tt1116147,298,. Pieces of a Woman,2h 6mR,2020,7.0,"54,726"
tt5697572,299,. Cats,1h 50mPG,2019,2.8,"54,725"
tt2119543,300,. The House with a Clock in Its Walls,1h 45mPG,2018,6.1,"54,517"
tt7347846,301,. The Lodge,1h 48mR,2019,6.0,"54,423"
tt7504726,302,. The Call of the Wild,1h 40mPG,2020,6.7,"54,416"
tt9777644,303,. Da 5 Bloods,2h 34mR,2020,6.5,"54,371"
tt5073642,304,. Color Out of Space,1h 51mUnrated,2019,6.2,"54,332"
tt2328900,305,. Mary Queen of Scots,2h 4mR,2018,6.3,"54,083"
tt5865326,306,. The Laundromat,1h 36mR,2019,6.3,"54,000"
tt7549996,307,. Judy,1h 58mPG-13,2019,6.8,"53,958"
tt0800325,308,. The Dirt,1h 47mTV-MA,2019,7.0,"53,897"
tt5116302,309,. Togo,1h 53mPG,2019,7.9,"53,779"
tt1043150,310,. Miracle in Cell No. 7,2h 12mTV-14,2019,8.2,"53,716"
tt6491178,311,. Dragged Across Concrete,2h 39mR,2018,6.9,"53,386"
tt5783956,312,. When We First Met,1h 37mTV-14,2018,6.4,"52,959"
tt5431890,313,. Official Secrets,1h 52mR,2019,7.3,"52,872"
tt1086064,314,. Bill & Ted Face the Music,1h 31mPG-13,2020,5.9,"51,978"
tt9426210,315,. Weathering with You,1h 52mPG-13,2019,7.5,"51,923"
tt7125860,316,. If Beale Street Could Talk,1h 59mR,2018,7.1,"51,696"
tt8544498,317,. The Way Back,1h 48mR,2020,6.7,"51,484"
tt9412098,318,. Fyre,1h 37mTV-MA,2019,7.2,"51,023"
tt1289403,319,. The Guernsey Literary and Potato Peel Pie Society,2h 4mTV-14,2018,7.3,"50,990"
tt2850386,320,. The Croods: A New Age,1h 35mPG,2020,6.9,"50,770"
tt5177088,321,. The Girl in the Spider's Web,1h 55mR,2018,6.1,"50,657"
tt7734218,322,. Stuber,1h 33mR,2019,6.2,"50,570"
