movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeminutes,ratingCategory,genre1,genre2,genre3
tt8110640,275,In the Shadow of the Moon,In the Shadow of the Moon,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,2019,59146,6.2,115,TV-MA,Action,Crime,Mystery
tt6452574,276,Sanju,Sanju,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",2018,59031,7.6,155,TV-MA,Biography,Comedy,Drama
tt7958736,277,Ma,Ma,"A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",2019,58401,5.6,99,R,Horror,Mystery,Thriller
tt1035092,278,Laxmii,Impossible,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",2020,58348,2.5,141,TV-MA,Action,Animation,Family
tt6217306,279,Apostle,Apostle,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",2018,57684,6.3,130,TV-MA,Drama,Fantasy,Horror
tt4463894,280,Shaft,Shaft,"JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",2019,57626,6.4,111,R,Action,Comedy,Crime
tt1068226,281,Hubie Halloween,Catching the Deep Sea Turtle,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.",2020,57202,5.2,103,PG-13,Documentary,Short,
tt5834262,282,Hotel Artemis,Hotel Artemis,"Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",2018,57154,6.1,94,R,Action,Crime,Drama
tt1051422,283,"Ma Rainey's Black Bottom",Jerk!,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,2020,56879,6.9,94,R,Animation,Comedy,Family
tt6820256,284,Arctic,Arctic,A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown.,2018,56875,6.8,98,PG-13,Adventure,Drama,
tt5968394,285,Captive State,Captive State,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",2019,56726,6.0,109,PG-13,Action,Horror,Sci-Fi
tt5246700,286,How It Ends,How It Ends,"In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.",2018,56696,5.0,113,TV-MA,Action,Drama,Horror
tt0983946,287,Fantasy Island,Fantasy Island,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",2020,56603,4.9,109,PG-13,Fantasy,Horror,Mystery
tt6791096,288,I Feel Pretty,I Feel Pretty,"A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?",2018,56486,5.6,110,PG-13,Comedy,Romance,
tt8239946,289,Tumbbad,Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,2018,56355,8.2,104,Not Rated,Drama,Fantasy,Horror
tt4913966,290,The Curse of La Llorona,The Curse of La Llorona,"Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",2019,56308,5.2,93,R,Horror,Mystery,Thriller
tt3201640,291,Extinction,Extinction,"A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm.",2018,56307,5.8,95,TV-MA,Action,Drama,Sci-Fi
tt1838556,292,Honest Thief,Honest Thief,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",2020,55908,6.0,99,PG-13,Action,Thriller,
tt7668842,293,Enes Batur: Imagination or Reality?,Enes Batur: Imagination or Reality?,Enes Batur has to decide between going to college or being a professional YouTuber.,2018,55850,2.0,110,,Comedy,,
tt7825208,294,Marighella,Marighella,"Facing a violent military dictatorship and an intimidated opposition, writer-turned-politician Carlos Marighella articulates a resistance all the while ousting heinous crimes of torture and the infamous censorship instituted by the regime.",2019,55842,7.1,155,,Action,Drama,History
tt8663516,295,"Child's Play","Child's Play","A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",2019,55482,5.7,90,R,Drama,Horror,Sci-Fi
tt4595882,296,Can You Ever Forgive Me?,Can You Ever Forgive Me?,"When Lee Israel falls out of step with current tastes, she turns her art form to deception.",2018,55254,7.1,106,R,Biography,Comedy,Crime
tt5814534,297,Spies in Disguise,Spies in Disguise,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.",2019,54881,6.8,102,PG,Action,Adventure,Animation
tt1116147,298,Pieces of a Woman,Wer ist Bob?,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",2020,54726,7.0,126,R,Drama,Family,
tt5697572,299,Cats,Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,2019,54725,2.8,110,PG,Comedy,Drama,Family
tt2119543,300,The House with a Clock in Its Walls,The House with a Clock in Its Walls,A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.,2018,54517,6.1,105,PG,Comedy,Family,Fantasy
tt7347846,301,The Lodge,The Lodge,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",2019,54423,6.0,108,R,Drama,Horror,Mystery
tt7504726,302,The Call of the Wild,The Call of the Wild,A sled dog struggles for survival in the wilds of the Yukon.,2020,54416,6.7,100,PG,Adventure,Drama,Family
tt9777644,303,Da 5 Bloods,Da 5 Bloods,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,2020,54371,6.5,154,R,Adventure,Drama,War
tt5073642,304,Color Out of Space,Color Out of Space,A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.,2019,54332,6.2,111,Unrated,Horror,Mystery,Sci-Fi
tt2328900,305,Mary Queen of Scots,Mary Queen of Scots,"Mary Stuart's (Saoirse Ronan's) attempt to overthrow her cousin Elizabeth I (Margot Robbie), Queen of England, finds her condemned to years of imprisonment before facing execution.",2018,54083,6.3,124,R,Biography,Drama,History
tt5865326,306,The Laundromat,The Laundromat,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",2019,54000,6.3,96,R,Comedy,Crime,Drama
tt7549996,307,Judy,Judy,Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.,2019,53958,6.8,118,PG-13,Biography,Drama,Music
tt0800325,308,The Dirt,The Dirt,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",2019,53897,7.0,107,TV-MA,Biography,Comedy,Drama
tt5116302,309,Togo,Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",2019,53779,7.9,113,PG,Adventure,Biography,Drama
